Date,XAU_Close,OIL_Close,SPX_Close,VIX_Close,US_Nominal_Yield,Real_Yield,DXY_Close,oil_corr_curr,oil_corr_7d,oil_corr_30d,spx_corr_curr,spx_corr_7d,spx_corr_30d,nominal_yield_curr,nominal_yield_corr_7d,nominal_yield_corr_30d,real_yield_curr,real_yield_corr_7d,real_yield_corr_30d,dxy_curr,dxy_corr_7d,dxy_corr_30d,vix_corr_curr,vix_corr_7d,vix_corr_30d
2025-11-21,4076.699951171875,58.060001373291016,6602.990234375,23.43000030517578,4.063000202178955,1.8230002021789549,100.11299896240234,-0.8065823176132871,-0.3836715181548365,-0.5969208840966874,0.125025194488116,0.6801851791140399,-0.34409092433640615,-0.580902841965123,-0.02561218111021791,-0.3432515258669732,-0.1467285270235384,-0.4822736878988514,,0.43889800804053997,-0.5991735782729284,-0.5346353895558408,0.5004081935132035,-0.6922940635868193,0.26222282274357817
2025-11-20,4056.5,59.13999938964844,6538.759765625,26.420000076293945,4.105999946594238,1.865999946594238,100.08999633789062,-0.8065823176132871,-0.7581019947994931,-0.5772253533088652,0.125025194488116,0.8422659705129745,-0.25733194651163727,-0.580902841965123,-0.6827807755008957,-0.3289747277225079,-0.1467285270235384,-0.8860127740010986,,0.43889800804053997,-0.5591259434938607,-0.5123946776255209,0.5004081935132035,-0.8268403242985217,0.2353660447718472
2025-11-19,4077.699951171875,59.439998626708984,6642.16015625,23.65999984741211,4.132999897003174,1.8629998970031738,100.1510009765625,-0.8065823176132871,-0.7624766963845526,-0.6096574591403924,0.125025194488116,0.6837855282275805,-0.2835029114276937,-0.580902841965123,-0.8109801164945392,-0.36857320818102646,-0.1467285270235384,,,0.43889800804053997,-0.45361174502498103,-0.5225546292963816,0.5004081935132035,-0.6749750743777714,0.32657517226337063
2025-11-18,4061.300048828125,60.7400016784668,6617.31982421875,24.690000534057617,4.123000144958496,1.853000144958496,99.4489974975586,-0.8065823176132871,-0.8425588058492978,-0.5874118509341933,0.125025194488116,0.5875252246675831,-0.289641581519941,-0.580902841965123,-0.7892232979499306,-0.3813959492972174,-0.1467285270235384,,,0.43889800804053997,-0.49494627732021435,-0.5439834923109226,0.5004081935132035,-0.581042880025627,0.351149790183732
2025-11-17,4068.300048828125,59.90999984741211,6672.41015625,22.3799991607666,4.132999897003174,1.852999897003174,99.48799896240234,-0.8065823176132871,-0.5908267910319902,-0.6056620325670686,0.125025194488116,0.4883093685950159,-0.2885135143614429,-0.580902841965123,-0.3576023131065692,-0.40429045057977264,-0.1467285270235384,,,0.43889800804053997,-0.530901663587569,-0.4728357844592644,0.5004081935132035,-0.297278307490519,0.4211167490787335
2025-11-14,4087.60009765625,60.09000015258789,6734.10986328125,19.829999923706055,4.1479997634887695,1.8679997634887697,99.1989974975586,-0.8065823176132871,-0.3961750273959628,-0.6252765171513337,0.125025194488116,0.5679023500819528,-0.2800739288964502,-0.580902841965123,-0.09629785828981073,-0.4479332814975937,-0.1467285270235384,,,0.43889800804053997,-0.6606229791917502,-0.34842811098402554,0.5004081935132035,-0.30298065912233196,0.47138017993485903
2025-11-13,4186.89990234375,58.689998626708984,6737.490234375,20.0,4.111999988555908,1.8319999885559084,99.05000305175781,-0.8065823176132871,-0.3526678482980602,-0.6288439489024462,0.125025194488116,0.48529423172926717,-0.23695305575254041,-0.580902841965123,-0.4097542300512564,-0.49425756251943653,-0.1467285270235384,,,0.43889800804053997,-0.7429599294981979,-0.16248514209699014,0.5004081935132035,-0.19461629403963035,0.48919060244878065
2025-11-12,4204.39990234375,58.4900016784668,6850.919921875,17.510000228881836,4.065000057220459,1.795000057220459,99.3740005493164,-0.8065823176132871,-0.3107479039597856,-0.5987301502772759,0.125025194488116,0.8034101410414289,-0.18907475574171953,-0.580902841965123,-0.3375798817228397,-0.536146019254279,-0.1467285270235384,,,0.43889800804053997,-0.7361231020337552,-0.0271092870413575,0.5004081935132035,-0.787492056409941,0.4870218488593363
2025-11-11,4106.7998046875,61.040000915527344,6846.60986328125,17.280000686645508,4.119999885559082,,99.31600189208984,-0.8065823176132871,0.33673605919821364,-0.6030631194489937,0.125025194488116,0.603440603755946,-0.2242724088497145,-0.580902841965123,0.17741614156216917,-0.5655366686557487,-0.1467285270235384,,,0.43889800804053997,-0.7586911034367934,0.04327060409436144,0.5004081935132035,-0.63686080414843,0.539790651344839
2025-11-10,4111.7998046875,60.130001068115234,6832.43017578125,17.600000381469727,4.110000133514404,1.8200001335144043,99.46199798583984,-0.8065823176132871,-0.061567733660272725,-0.6561373266878797,0.125025194488116,0.36730385636259816,-0.20546377713085578,-0.580902841965123,0.0942418836211745,-0.6257853264591363,-0.1467285270235384,0.130989908802947,,0.43889800804053997,-0.6165781806515472,0.12038078566525261,0.5004081935132035,-0.41051991897462,0.5699500030697808
